gold_incident_group,gold_date,gold_country,gold_function,gold_activity,top_canonical_id,top_score,second_score,score_margin,lexical_similarity,date_match,country_match,decision,rejection_reason,lsr_labels,source_document,source_page
GRP-Safety performa-P13,16 Apr 2024,,production,,OILPS_IOGP_HPE_0007,0.15,0.15,0.0,0.0,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P14,,,,,OILPS_IOGP_SPI_0080,0.0135,0.0091,0.0044,0.0899,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P15,02 Dec 2025,,production,,OILPS_IOGP_HPE_0012,0.4,0.4,0.0,0.0,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P16,18 Mar 2025,mauritania,production,,OILPS_IOGP_HPE_0013,0.6,0.15,0.45,0.0,True,True,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Energy Isolation"", ""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P17,18 Nov 2025,namibia,drilling,,OILPS_IOGP_HPE_0014,0.6,0.15,0.45,0.0,True,True,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P18,03 Dec 2025,australia,drilling,,OILPS_IOGP_HPE_0015,0.6,0.25,0.35,0.0,True,True,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2025 data.pdf,
GRP-Safety performa-P19,26 Aug 2024,new zealand,production,,OILPS_IOGP_HPE_0022,0.2,0.15,0.05,0.0,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P20,,,,,OILPS_IOGP_HPE_0064,0.0112,0.0082,0.003,0.075,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P21,,,,,OILPS_IOGP_HPE_0018,0.0793,0.013,0.0663,0.5284,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P22,09 Apr 2025,indonesia,drilling,,OILPS_IOGP_HPE_0020,0.6,0.35,0.25,0.0,True,True,AMBIGUOUS,Margin below 0.15 or low score,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Work Authorization"", ""Hot Work""]",Safety performance indicators – 2025 data.pdf,
GRP-Safety performa-P23,,,,,OILPS_IOGP_HPE_0021,0.0197,0.0165,0.0032,0.1314,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P25,17 Jun 2024,indonesia,production,,OILPS_IOGP_SPI_0012,0.35,0.35,0.0,0.0,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P26,,,,,OILPS_IOGP_HPE_0066,0.0127,0.0105,0.0022,0.0847,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P27,,,,,OILPS_IOGP_SPI_0056,0.006,0.0058,0.0002,0.04,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P28,,,,,OILPS_IOGP_SPI_0041,0.007,0.0061,0.0009,0.0466,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P29,24 Apr 2025,,construction,,OILPS_IOGP_HPE_0025,0.4009,0.4003,0.0006,0.0057,True,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Working at Height""]",Safety performance indicators – 2025 data.pdf,
GRP-Safety performa-P31,,,,,OILPS_IOGP_HPE_0031,0.0938,0.0346,0.0592,0.6251,False,False,REJECTED,Insufficient evidence,"[""Bypassing Safety Controls"", ""Line of Fire"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P32,,,,,OILPS_IOGP_FATAL_0019,0.0082,0.0082,0.0,0.0548,False,False,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting"", ""Working at Height""]",Safety performance indicators – 2024 data.pdf,
GRP-Safety performa-P33,18 Mar 2024,hungary,production,,OILPS_IOGP_SPI_0020,0.3503,0.1544,0.1959,0.002,False,True,REJECTED,Insufficient evidence,"[""Line of Fire"", ""Working at Height"", ""Work Authorization""]",Safety performance indicators – 2024 data.pdf,
